,JobTitle,Company,Location,Summary,Salary,SalaryType,City,State,Salary Lower,Salary Higher,Salary Average
147,Lead Data Scientist / Data Scientist Manager - Bangkok,,"Palo Alto, CA","Lead Data Scientist (Bangkok) - FULL RELOCATION AND VISA SPONSORSHIP AVAILABLE Requirements: Do you have what it takes? * Excited and able to relocate to Bangkok, Thailand * Leadership skills and experience in leading data science projects and or teams *...","[ 0 ,  100]",Y,Palo Alto,CA,100000.0,100000.0,100000.0
148,"Bioinformatics Scientist - ""Top 10 Pharma/Biotech Firm""",CyberCoders,"Menlo Park, CA","This position is open as of 10/18/2016. Bioinformatics Scientist - ""Top 10 Pharma/Biotech Firm"" With offices spread around the world, we are a ""Top 10 Pharma/Biotech firm"" in need of a best in class Bioinformatics Scientist for our global headquarters in...","[ 75 ,  110]",Y,Menlo Park,CA,75000.0,110000.0,92500.0
149,Customer Service,,"San Leandro, CA",IMMEDIATE HIRE - NO EXPERIENCE NECESSARY - FULL TIME POSITIONS ENTRY LEVEL POSITIONS IN: ENTRY LEVEL MARKETING / CUSTOMER SERVICE - RAPID ADVANCEMENT IN OUR NEW OFFICE! We provide aggressive marketing and advertising campaigns for national accounts in the...,"[ 40 ,  50]",Y,San Leandro,CA,40000.0,50000.0,45000.0
150,Customer Service - Paid training -Start ASAP,,"Richmond, CA",IMMEDIATE HIRE - NO EXPERIENCE NECESSARY - FULL TIME POSITIONS ENTRY LEVEL POSITIONS IN: ENTRY LEVEL MARKETING / CUSTOMER SERVICE - RAPID ADVANCEMENT IN OUR NEW OFFICE! We provide aggressive marketing and advertising campaigns for national accounts in the...,"[ 40 ,  50]",Y,Richmond,CA,40000.0,50000.0,45000.0
151,"Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Advancement Opportunities",,"Richmond, CA","Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Management Opportunity Are you looking for a career that gets you EXCITED to come to work everyday? Are you looking for a CAREER rather than just a job? Welcome to our Firm, where NO...","[ 40 ,  50]",Y,Richmond,CA,40000.0,50000.0,45000.0
152,Bioinformatics Engineer,CyberCoders,"Pleasanton, CA","This position is open as of 10/18/2016. Bioinformatics Scientist- NGS, Python, R, C/C++ We are a leader in genetic sequencing and tissue-based cancer diagnostics. We are looking for a recent PhD graduate whom has experience working with NGS data and analy...","[ 100 ,  120]",Y,Pleasanton,CA,100000.0,120000.0,110000.0
153,"Sr. Data Infrastructure Engineer- VC Backed, Healthcare Startup!",CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Data Infrastructure Engineer- Well Funded, Healthcare Start-Up! If you are a Data Infrastructure Engineer with 3+ years of experience and comfortable using Machine Learning and the latested in data analytics to buil...","[ 100 ,  150]",Y,San Francisco,CA,100000.0,150000.0,125000.0
154,Director of Engineering,CyberCoders,"Palo Alto, CA","This position is open as of 10/18/2016. Director of Engineering- Java/Scala, NLP, Data Science If you are a Director of Engineering with experience, please read on! Job Title: Director of Engineering Location: Palo Alto, CA Salary: $150-185k+ Equity optio...","[ 150 ,  200]",Y,Palo Alto,CA,150000.0,200000.0,175000.0
155,Research Engineer,CyberCoders,"San Mateo, CA","This position is open as of 10/18/2016. Research Engineer - Python, Machine Learning, If you are a Research Engineer with experience, please read on! We are looking for motivated self-starters and extremely fast learners with top notch problem solving and...","[ 80 ,  140]",Y,San Mateo,CA,80000.0,140000.0,110000.0
156,Data Scientist,CyberCoders,"Aurora, CO","This position is open as of 10/18/2016. Data Scientist - Relocation to Salt Lake City, UT If you are a Data Scientist - willing to relocate to SALT LAKE CITY, UT (assistance provided) - with experience, please read on! Location: Salt Lake City, UT Salary...","[ 90 ,  120]",Y,Aurora,CO,90000.0,120000.0,105000.0
157,Senior Data Engineer (Python),CyberCoders,"Aurora, CO","This position is open as of 10/18/2016. Senior Data Engineer (Python) Based in the Denver, CO area, we are one of the most innovative and ""Fast Growing"" Health technology companies in the area. With access to the most advanced technologies, our team is co...","[ 110 ,  150]",Y,Aurora,CO,110000.0,150000.0,130000.0
158,Data Scientist - Machine Learning,CyberCoders,"Los Angeles, CA","This position is open as of 10/18/2016. Data Scientist - Hot West LA start-up! We are a well funded, disruptive startup in the auto space. Our mobile application launched in Los Angeles in 2014 and has been booming ever since. With all the success, we are...","[ 100 ,  175]",Y,Los Angeles,CA,100000.0,175000.0,137500.0
159,Lead Technology Architect - Advanced BioTech Firm,CyberCoders,"Torrance, CA","This position is open as of 10/18/2016. Lead Technology Architect - Advanced BioTech Firm If you are a Technology Architect with experience, please read on! This is an opportunity to work on an industry leading website that won NUMEROUS “BEST BIOTECHNOLOG...","[ 75 ,  150]",Y,Torrance,CA,75000.0,150000.0,112500.0
160,Microbiology Manager,Atrium Staffing,"Plainsboro, NY",Our client is a Pharmaceutical/Biotech company with an innovative mindset. This is a stable and successful company that has been in business 30+ years and operates on an international level. The company is a specialized producer of niche biological produc...,"[ 90 ,  120]",Y,Plainsboro,NY,90000.0,120000.0,105000.0
161,Data Scientist (Machine Learning),CyberCoders,"San Mateo, CA","This position is open as of 10/18/2016. Data Scientist (Machine Learning) If you are a data scientist with machine learning experience, please read on! Located in San Mateo, we are a predictive analytics company in a high growth environment pioneering sol...","[ 120 ,  140]",Y,San Mateo,CA,120000.0,140000.0,130000.0
162,"Data Scientist Lead - Statistics, Modeling, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Data Scientist Lead - Statistics, Modeling, ML - (140K-170K) If you are a Data Scientist Lead - Statistics, Modeling, Algorithms, Machine learning - (140K-170K) with experience, please read on! Located in beautiful...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
163,"Lead Data Scientist - ML, NLP, AI",Vaco Technology,"San Francisco, CA","Vaco has been engaged to find a Lead Data Scientist to join a vibrant organization in which Machine Learning (ML) is the core technical mission. As a Lead Data Scientist, you will head up a 2 to 4 person team building state of the art algorithms for optim...","[ 170 ,  175]",Y,San Francisco,CA,170000.0,175000.0,172500.0
164,"Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) If you are a Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) with experience, please read on! Located in beautiful Mountain View, CA, we...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
165,Principal Scientist- Relocating to San Diego,CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Principal Scientist - RELOCATING TO SAN DIEGO If you are a Principal Scientist with experience in Predictive Modeling, please read on! Job Title: Principal Scientist Location: San Diego, CA- Company will Relocate Sa...","[ 140 ,  200]",Y,San Francisco,CA,140000.0,200000.0,170000.0
166,Lead Data Scientist / Data Scientist Manager - Bangkok,,"Palo Alto, CA","Lead Data Scientist (Bangkok) - FULL RELOCATION AND VISA SPONSORSHIP AVAILABLE Requirements: Do you have what it takes? * Excited and able to relocate to Bangkok, Thailand * Leadership skills and experience in leading data science projects and or teams *...","[ 0 ,  100]",Y,Palo Alto,CA,100000.0,100000.0,100000.0
167,"Bioinformatics Scientist - ""Top 10 Pharma/Biotech Firm""",CyberCoders,"Menlo Park, CA","This position is open as of 10/18/2016. Bioinformatics Scientist - ""Top 10 Pharma/Biotech Firm"" With offices spread around the world, we are a ""Top 10 Pharma/Biotech firm"" in need of a best in class Bioinformatics Scientist for our global headquarters in...","[ 75 ,  110]",Y,Menlo Park,CA,75000.0,110000.0,92500.0
168,Senior Software Engineer,CyberCoders,"Redwood City, CA","This position is open as of 10/18/2016. Senior Software Engineer If you are a Senior Software Engineer with experience, please read on! Job Title: Senior Software Engineer Location: Redwood City, CA Salary: $110-175k The company: We use our services to di...","[ 110 ,  175]",Y,Redwood City,CA,110000.0,175000.0,142500.0
169,Tired of your Current Job? Looking for a Change in Career? It’s TIME to THINK OUTSIDE the CUBICLE!,,"Oakland, CA",Are you tired of being stuck behind your desk and not experiencing any growth? Is your desk stopping you from living your biggest dreams and aspirations? A great businessman once said “the only thing that is standing between your goals and your dreams is...,"[ 40 ,  70]",Y,Oakland,CA,40000.0,70000.0,55000.0
170,"Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Advancement Opportunities",,"San Francisco, CA","Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Management Opportunity Are you looking for a career that gets you EXCITED to come to work everyday? Are you looking for a CAREER rather than just a job? Welcome to our Firm, where NO...","[ 40 ,  50]",Y,San Francisco,CA,40000.0,50000.0,45000.0
171,Customer Service - Paid training -Start ASAP,,"Richmond, CA",IMMEDIATE HIRE - NO EXPERIENCE NECESSARY - FULL TIME POSITIONS ENTRY LEVEL POSITIONS IN: ENTRY LEVEL MARKETING / CUSTOMER SERVICE - RAPID ADVANCEMENT IN OUR NEW OFFICE! We provide aggressive marketing and advertising campaigns for national accounts in the...,"[ 40 ,  50]",Y,Richmond,CA,40000.0,50000.0,45000.0
172,"Sr. Data Infrastructure Engineer- VC Backed, Healthcare Startup!",CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Data Infrastructure Engineer- Well Funded, Healthcare Start-Up! If you are a Data Infrastructure Engineer with 3+ years of experience and comfortable using Machine Learning and the latested in data analytics to buil...","[ 100 ,  150]",Y,San Francisco,CA,100000.0,150000.0,125000.0
173,Data Scientist,CyberCoders,"Cambridge, MA","This position is open as of 10/18/2016. Data Scientist - Improving Healthcare through Big-Data Analytics If you are a Data Scientist with 3+ years of professional experience, please read on! With offices in Cambridge, MA we are a big data analytics softwa...","[ 95 ,  120]",Y,Cambridge,MA,95000.0,120000.0,107500.0
174,"Data Scientist / Machine Learning Expert - Bangkok, Thailand",,"Boston, MA","Data Scientist / Machine Learning Expert Please note this role is based in Bangkok, Thailand - full relocation and visa sponsorship provided Charm us with: * An earned stripes in coding, in data handling, in statistics and in machine learning (3-5 years o...","[ 0 ,  100]",Y,Boston,MA,100000.0,100000.0,100000.0
175,"Data Scientist / Machine Learning Expert - Bangkok, Thailand",Big Wednesday Digital,"Framingham, MA","Data Scientist / Machine Learning Expert Please note this role is based in Bangkok, Thailand - full relocation and visa sponsorship provided Charm us with: An earned stripes in coding, in data handling, in statistics and in machine learning (3-5 years of...","[ 75 ,  200]",Y,Framingham,MA,75000.0,200000.0,137500.0
176,Data Engineer (ElasticSearch/Kafka) -global eCommerce - Bangkok,,"Boston, MA",Data Engineer (ElasticSearch/Kafka) - global eCommerce - Bangkok Please note: This role is based in Bangkok and you must be willing to relocate to Thailand if you're interested in this role. Visa and relocation assistance is available. Requirements: * Wil...,"[ 0 ,  100]",Y,Boston,MA,100000.0,100000.0,100000.0
177,Data Engineer (ElasticSearch/Kafka) -global eCommerce - Bangkok,Big Wednesday Digital,"Framingham, MA",Data Engineer (ElasticSearch/Kafka) - global eCommerce - Bangkok Please note: This role is based in Bangkok and you must be willing to relocate to Thailand if you're interested in this role. Visa and relocation assistance is available. Requirements: Willi...,"[ 50 ,  125]",Y,Framingham,MA,50000.0,125000.0,87500.0
178,Computer Vision Engineer,CyberCoders,"Cambridge, MA","This position is open as of 10/18/2016. Computer Vision Engineer - OpenCV, C++, Machine Learning Located in beautiful Cambridge, we are scientists and engineers looking to push the boundaries of what is possible in the field of AI. Top Reasons to Work wit...","[ 100 ,  150]",Y,Cambridge,MA,100000.0,150000.0,125000.0
179,Research Associate,Medix,"Cambridge, MA","CORE JOB FUNCTIONS: * The primary focus of this position will be to develop and perform a variety of in vitro assays, with human or animal primary immune cells, to evaluate novel small molecules for drug candidate screening, lead optimization, and mechani...","[ 30.00 ,  34.00]",H,Cambridge,MA,62400.0,70720.0,66560.0
180,Senior Quality Assurance Engineer,Huxley Associates,"Boston, MA","Senior Quality Assurance Engineer- Boston, MA An incubated financial technology firm located in downtown Boston is expanding their Product team and seeking a Senior Quality Assurance Engineer to work on testing of their AngularJS web based applications. T...","[ 55.00 ,  75.00]",H,Boston,MA,114400.0,156000.0,135200.0
181,Data Scientist,CyberCoders,"Aurora, CO","This position is open as of 10/18/2016. Data Scientist - Relocation to Salt Lake City, UT If you are a Data Scientist - willing to relocate to SALT LAKE CITY, UT (assistance provided) - with experience, please read on! Location: Salt Lake City, UT Salary...","[ 90 ,  120]",Y,Aurora,CO,90000.0,120000.0,105000.0
182,Senior Data Engineer (Python),CyberCoders,"Aurora, CO","This position is open as of 10/18/2016. Senior Data Engineer (Python) Based in the Denver, CO area, we are one of the most innovative and ""Fast Growing"" Health technology companies in the area. With access to the most advanced technologies, our team is co...","[ 110 ,  150]",Y,Aurora,CO,110000.0,150000.0,130000.0
183,Machine Learning Data Scientist,CyberCoders,"San Jose, CA","This position is open as of 10/18/2016. Machine Learning Data Scientist - Cyber Security Startup If you are a Data Scientist with machine learning and big data experience, please read on! They are an innovative, technology driven Cyber Security Startup th...","[ 120 ,  160]",Y,San Jose,CA,120000.0,160000.0,140000.0
184,"Data Scientist Lead - Statistics, Modeling, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Data Scientist Lead - Statistics, Modeling, ML - (140K-170K) If you are a Data Scientist Lead - Statistics, Modeling, Algorithms, Machine learning - (140K-170K) with experience, please read on! Located in beautiful...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
185,"Lead Data Scientist - ML, NLP, AI",Vaco Technology,"San Francisco, CA","Vaco has been engaged to find a Lead Data Scientist to join a vibrant organization in which Machine Learning (ML) is the core technical mission. As a Lead Data Scientist, you will head up a 2 to 4 person team building state of the art algorithms for optim...","[ 170 ,  175]",Y,San Francisco,CA,170000.0,175000.0,172500.0
186,"Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) If you are a Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) with experience, please read on! Located in beautiful Mountain View, CA, we...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
187,Principal Scientist- Relocating to San Diego,CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Principal Scientist - RELOCATING TO SAN DIEGO If you are a Principal Scientist with experience in Predictive Modeling, please read on! Job Title: Principal Scientist Location: San Diego, CA- Company will Relocate Sa...","[ 140 ,  200]",Y,San Francisco,CA,140000.0,200000.0,170000.0
188,Lead Data Scientist / Data Scientist Manager - Bangkok,,"Palo Alto, CA","Lead Data Scientist (Bangkok) - FULL RELOCATION AND VISA SPONSORSHIP AVAILABLE Requirements: Do you have what it takes? * Excited and able to relocate to Bangkok, Thailand * Leadership skills and experience in leading data science projects and or teams *...","[ 0 ,  100]",Y,Palo Alto,CA,100000.0,100000.0,100000.0
189,Tired of your Current Job? Looking for a Change in Career? It’s TIME to THINK OUTSIDE the CUBICLE!,,"Oakland, CA",Are you tired of being stuck behind your desk and not experiencing any growth? Is your desk stopping you from living your biggest dreams and aspirations? A great businessman once said “the only thing that is standing between your goals and your dreams is...,"[ 40 ,  70]",Y,Oakland,CA,40000.0,70000.0,55000.0
190,Customer Service - Paid training -Start ASAP,,"Richmond, CA",IMMEDIATE HIRE - NO EXPERIENCE NECESSARY - FULL TIME POSITIONS ENTRY LEVEL POSITIONS IN: ENTRY LEVEL MARKETING / CUSTOMER SERVICE - RAPID ADVANCEMENT IN OUR NEW OFFICE! We provide aggressive marketing and advertising campaigns for national accounts in the...,"[ 40 ,  50]",Y,Richmond,CA,40000.0,50000.0,45000.0
191,"Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Advancement Opportunities",,"San Francisco, CA","Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Management Opportunity Are you looking for a career that gets you EXCITED to come to work everyday? Are you looking for a CAREER rather than just a job? Welcome to our Firm, where NO...","[ 40 ,  50]",Y,San Francisco,CA,40000.0,50000.0,45000.0
192,"Sr. Data Infrastructure Engineer- VC Backed, Healthcare Startup!",CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Data Infrastructure Engineer- Well Funded, Healthcare Start-Up! If you are a Data Infrastructure Engineer with 3+ years of experience and comfortable using Machine Learning and the latested in data analytics to buil...","[ 100 ,  150]",Y,San Francisco,CA,100000.0,150000.0,125000.0
193,Clinical Development Scientist,,"Philadelphia, PA","Alphanumeric is hiring a Clinical Development Scientist to work with one of the largest pharmaceutical companies in the world. This position can be based in Upper Providence, Upper Merion or RTP Key Responsiblities: Support the successful migration of cli...","[ 49.00 ,  57.00]",H,Philadelphia,PA,101920.0,118560.0,110240.0
194,Machine Learning Scientist,CyberCoders,"Philadelphia, PA","This position is open as of 10/18/2016. Machine Learning Scientist - Tech Co. Revolutionizing Learning If you are a Machine Learning Scientist with a Master's degree, please read on! Our team develops breakthrough technology for personalized learning! We...","[ 130 ,  160]",Y,Philadelphia,PA,130000.0,160000.0,145000.0
195,Scientist-II,Experis,"Spring House, PA","Scientist-II Spring House, PA POSITION SUMMARY: The candidate will contribute to the evaluation and development of scalable AAV manufacturing technologies in support of efforts to develop human therapies. She/he will work to engineer a mammalian expressio...","[ 27.00 ,  29.00]",H,Spring House,PA,56160.0,60320.0,58240.0
196,Patient Safety Scientist,Kelly Scientific Resources,"Wilmington, DE","Patient Safety Associate – Support (Systems) – 3 month contract Kelly Clinical and a world renown pharmaceutical company is looking for the right fit for a Patient Safety Scientist in Wilmington, DE for a 3 month contract. Contribute to scientific, techni...","[ 0 ,  74 ]",Y,Wilmington,DE,74000.0,74000.0,74000.0
197,Clinical Study Professional,,"Upper Providence, Upper Merion or Research Triangle Park, PA","Alphanumeric is hiring a Clinical Development Scientist to work with one of the largest pharmaceutical companies in the world. This position can be based in Upper Providence, Upper Merion or RTP. We are unable to offer sponsorship or represent C2C candida...","[ 0.00 ,  58.00]",H,"Upper Providence, Upper Merion or Research Triangle Park",PA,120640.0,120640.0,120640.0
198,Analytics Consultant / Strategist,Johnson Service Group,"Philadelphia, PA",We have an immediate openings for Analytics Strategist in Philadelphia PA or RTP NC. This position is approved for 3 monts and could be extended. Pay rate: Highly competitive 5 + years of experience in digital and CRM analytics. Analytics Strategist SME t...,"[ 80.00 ,  120.00]",H,Philadelphia,PA,166400.0,249600.0,208000.0
199,Molecular Biologist,Aerotek,"West Chester, PA","Our client, is a leading CRO that is looking to add a talented Molecular Biologist to their growing Molecular team. Summary of the role: Planning and conducting experiments under the direction of a senior scientist Conducting studies on molecular cloning...","[ 40 ,  65]",Y,West Chester,PA,40000.0,65000.0,52500.0
200,Jr. Scientist - Biotech Manufacturing,Staffing Network,"Chicago, IL","Manufacturing Scientist - Biotechnology Looking for candidates with a background in Biology, Microbiology or Chemistry. In this position, you'll be responsible for process development for manufacturing pharmaceutical products in a state of the art laborat...","[ 22.00 ,  24.00]",H,Chicago,IL,45760.0,49920.0,47840.0
201,Stability Chemist,Pinpoint Pharma,"Waukegan, IL","The QC Stability Chemist will perform testing and packaging of stability samples in support of the stability program. Individual will perform testing of raw materials and finished products in support of release of materials. Additionally, this position wi...","[ 55 ,  65]",Y,Waukegan,IL,55000.0,65000.0,60000.0
202,Data Engineer (ElasticSearch/Kafka) -global eCommerce - Bangkok,,"Chicago, IL",Data Engineer (ElasticSearch/Kafka) - global eCommerce - Bangkok Please note: This role is based in Bangkok and you must be willing to relocate to Thailand if you're interested in this role. Visa and relocation assistance is available. Requirements: * Bac...,"[ 0 ,  100]",Y,Chicago,IL,100000.0,100000.0,100000.0
203,Statistician II,,"Chicago, IL",Fortune 500 Pharmaceutical Client looking to add a Network Engineer to their rapidly growing team. W2 contract only no corp to corp. Description Core Job Responsibilities Responsible for implementing and maintaining the effectiveness of the quality system...,"[ 30.00 ,  37.00]",H,Chicago,IL,62400.0,76960.0,69680.0
204,Tax Manager,CyberCoders,"Chicago, IL","This position is open as of 10/18/2016. Tax Manager - FAS 109 If you are a Tax Manager with 4+ years of experience please read on! Based in Chicago, IL, we are one of the most renown and respected public accounting and consulting companies in the world. W...","[ 100 ,  130]",Y,Chicago,IL,100000.0,130000.0,115000.0
205,Director of Data Science,Brooksource,"Nashville, TN","Are you an experienced Data Scientist with strong management skills? If so, there's a great opportunity open for you in Nashville, TN! Our healthcare client is looking for a Director of Data Science to be a key statistics and analytics expert. Pay Rate: $...","[ 65.00 ,  85.00]",H,Nashville,TN,135200.0,176800.0,156000.0
206,Data Scientist- Solutions Architect,CyberCoders,"Atlanta, GA","This position is open as of 10/18/2016. Data Scientist- Solutions Architect If you are a Data Scientist with client facing experience, send me a resume and please read on! Our Big Data Analytics firm was founded by a team of successful startup founders, D...","[ 150 ,  175]",Y,Atlanta,GA,150000.0,175000.0,162500.0
207,Data Scientist / Practitioner,Big Wednesday Digital,"Atlanta, GA","We're Hiring Data Scientists - Practitioner - to join our client in Bangkok, Thailand! Requirements: Do you have what it takes? Able to move to Bangkok, Thailand in the heart of Asia - full relocation and visa provided At least 2 years working as a statis...","[ 55 ,  125]",Y,Atlanta,GA,55000.0,125000.0,90000.0
208,UI Developer (D3.JS),,"Alpharetta, GA","UI Developer (D3.JS) Skills : D3.JS, Love of UI/UX, JavaScript, HTML5, Responsive Web Design, Angular.js (or similar) Pay : Flexible contract rate Duration : 6+ months Location : Alpharetta, GA w/ Telecommute Options (could be remote for non-local candida...","[ 60.00 ,  70.00]",H,Alpharetta,GA,124800.0,145600.0,135200.0
209,Software Engineer,Abacus Service Corporation,"Glen Allen, VA","Job Overview: You will be responsible for designing and programming a small module or a large component and designing a feature, set of features, or whole feature area. She/he will work independently and contribute to the immediate team and to other teams...","[ 60.00 ,  70.00]",H,Glen Allen,VA,124800.0,145600.0,135200.0
210,Senior Data Scientist,CyberCoders,"Berkeley, CA","This position is open as of 10/18/2016. Senior Data Scientist -NLP Located in beautiful Berkeley, CA, we have a passion for healthcare and are singularly focused on improving our healthcare system for all stakeholders – especially patients - by helping ou...","[ 140 ,  200]",Y,Berkeley,CA,140000.0,200000.0,170000.0
211,Senior | Lead Data Scientist,CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Senior Data Scientist - Big Data, Machine Learning - San Fran! We are seeking a very smart and engaged Senior Data Scientist to work with our massive data sets. As a robust networking firm, founded in 2011, we are b...","[ 150 ,  250]",Y,San Francisco,CA,150000.0,250000.0,200000.0
212,"Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Advancement Opportunities",,"Downtown, CA","Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Management Opportunity Are you looking for a career that gets you EXCITED to come to work everyday? Are you looking for a CAREER rather than just a job? Welcome to our Firm, where NO...","[ 40 ,  50]",Y,Downtown,CA,40000.0,50000.0,45000.0
213,Customer Service - Paid training -Start ASAP,,"Richmond, CA",IMMEDIATE HIRE - NO EXPERIENCE NECESSARY - FULL TIME POSITIONS ENTRY LEVEL POSITIONS IN: ENTRY LEVEL MARKETING / CUSTOMER SERVICE - RAPID ADVANCEMENT IN OUR NEW OFFICE! We provide aggressive marketing and advertising campaigns for national accounts in the...,"[ 40 ,  50]",Y,Richmond,CA,40000.0,50000.0,45000.0
214,Software Engineer,CyberCoders,"Berkeley, CA","This position is open as of 10/18/2016. Software Engineer - PowerShell/Large Data Sets Located in beautiful Berkeley, CA, we have a passion for healthcare and are singularly focused on improving our healthcare system for all stakeholders – especially pati...","[ 140 ,  200]",Y,Berkeley,CA,140000.0,200000.0,170000.0
215,Director of Analytics,CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Director of Analytics - Analytics, PhD, Quantitative Consulting We're a fast-paced, growing, and a downright cool Technology Company with tons of upside. We keep growing... and growing... and growing; hence, the nee...","[ 100 ,  200]",Y,San Francisco,CA,100000.0,200000.0,150000.0
216,Sr. Product Manager- VC Backed & Well-Funded Healthcare Startup!,CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Sr. Product Manager- VC Backed & Well-Funded Healthcare Startup! If you are a Senior Product Manager with 5+ years of proven Product Management and Developement experience with SaaS or enterprise software products,...","[ 100 ,  160]",Y,San Francisco,CA,100000.0,160000.0,130000.0
217,UI / Front End Engineer,"TEKsystems, Inc","San Francisco, CA","Title : UI / Front End Engineer Terms :Direct Hire / Direct Placement / FTE Target Compensation : $120,000 to $145,000 plus medical, dental, vision, sick time, PTO, preIPO equity, great snacks and more! Location : San Francisco, CA 94105 ( Mission Distric...","[ 120 ,  145]",Y,San Francisco,CA,120000.0,145000.0,132500.0
218,Senior Data Scientist,CyberCoders,"Palo Alto, CA","This position is open as of 10/18/2016. Senior Data Scientist - Machine Learning, Python, C/C++ If you are a Senior Data Scientist with experience, please read on! Job Title: Senior Data Scientist Location: Palo Alto, CA Salary: $100-175k+ Equity options...","[ 100 ,  175]",Y,Palo Alto,CA,100000.0,175000.0,137500.0
219,"Data Scientist Lead - Statistics, Modeling, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Data Scientist Lead - Statistics, Modeling, ML - (140K-170K) If you are a Data Scientist Lead - Statistics, Modeling, Algorithms, Machine learning - (140K-170K) with experience, please read on! Located in beautiful...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
220,"Lead Data Scientist - ML, NLP, AI",Vaco Technology,"San Francisco, CA","Vaco has been engaged to find a Lead Data Scientist to join a vibrant organization in which Machine Learning (ML) is the core technical mission. As a Lead Data Scientist, you will head up a 2 to 4 person team building state of the art algorithms for optim...","[ 170 ,  175]",Y,San Francisco,CA,170000.0,175000.0,172500.0
221,"Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) If you are a Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) with experience, please read on! Located in beautiful Mountain View, CA, we...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
222,Principal Scientist- Relocating to San Diego,CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Principal Scientist - RELOCATING TO SAN DIEGO If you are a Principal Scientist with experience in Predictive Modeling, please read on! Job Title: Principal Scientist Location: San Diego, CA- Company will Relocate Sa...","[ 140 ,  200]",Y,San Francisco,CA,140000.0,200000.0,170000.0
223,Lead Data Scientist / Data Scientist Manager - Bangkok,,"Palo Alto, CA","Lead Data Scientist (Bangkok) - FULL RELOCATION AND VISA SPONSORSHIP AVAILABLE Requirements: Do you have what it takes? * Excited and able to relocate to Bangkok, Thailand * Leadership skills and experience in leading data science projects and or teams *...","[ 0 ,  100]",Y,Palo Alto,CA,100000.0,100000.0,100000.0
224,"Bioinformatics Scientist - ""Top 10 Pharma/Biotech Firm""",CyberCoders,"Menlo Park, CA","This position is open as of 10/18/2016. Bioinformatics Scientist - ""Top 10 Pharma/Biotech Firm"" With offices spread around the world, we are a ""Top 10 Pharma/Biotech firm"" in need of a best in class Bioinformatics Scientist for our global headquarters in...","[ 75 ,  110]",Y,Menlo Park,CA,75000.0,110000.0,92500.0
225,"Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Advancement Opportunities",,"San Francisco, CA","Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Management Opportunity Are you looking for a career that gets you EXCITED to come to work everyday? Are you looking for a CAREER rather than just a job? Welcome to our Firm, where NO...","[ 40 ,  50]",Y,San Francisco,CA,40000.0,50000.0,45000.0
226,Sr. Software Engineer - Save Lives!,CyberCoders,"Menlo Park, CA","This position is open as of 10/18/2016. Sr. Software Engineer - Save Lives! Based in Menlo Park, CA we are a breakthrough diagnostic leader in technology working with high profile clients such as Mayo Clinic. We received Series A funding in 2011 for $16M...","[ 120 ,  140]",Y,Menlo Park,CA,120000.0,140000.0,130000.0
